,pdf_type,confidence,total_pages,text_pages,scanned_pages,mixed_pages,ocr_pages,ocr_enabled,processing_time_sec,extraction_engine,requires_ocr,requires_docling,decision_reason
40,TEXT,61.99386503,163,152,4,7,0,FALSE,3.4248484,PyMuPDF,FALSE,FALSE,152 of 163 pages contain a text layer. OCR is not required. Use direct text and table extraction.
41,TEXT,79.15816327,196,189,3,4,0,FALSE,7.2390858,PyMuPDF,FALSE,FALSE,189 of 196 pages contain a text layer. OCR is not required. Use direct text and table extraction.
42,TEXT,63.984375,192,180,2,10,0,FALSE,8.8319303,PyMuPDF,FALSE,FALSE,180 of 192 pages contain a text layer. OCR is not required. Use direct text and table extraction.
43,MIXED,60.41587902,529,469,11,49,0,TRUE,7.165797,PyMuPDF,FALSE,FALSE,469 of 529 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
44,UNKNOWN,0,0,0,0,0,0,FALSE,0.0635628,,FALSE,FALSE,
45,TEXT,60.62162162,370,366,2,2,0,FALSE,3.7067772,PyMuPDF,FALSE,FALSE,366 of 370 pages contain a text layer. OCR is not required. Use direct text and table extraction.
46,TEXT,59.66292135,267,250,4,13,0,FALSE,4.0762049,PyMuPDF,FALSE,FALSE,250 of 267 pages contain a text layer. OCR is not required. Use direct text and table extraction.
47,TEXT,60.74349442,269,243,8,16,2,FALSE,16.4117886,PyMuPDF,FALSE,FALSE,243 of 269 pages contain a text layer. OCR is not required. Use direct text and table extraction.
48,MIXED,49.70679012,648,581,13,53,1,TRUE,14.8536933,PyMuPDF,FALSE,FALSE,581 of 648 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
49,TEXT,63.67158672,271,267,4,0,0,FALSE,3.1722364,PyMuPDF,FALSE,FALSE,267 of 271 pages contain a text layer. OCR is not required. Use direct text and table extraction.
,pdf_type,confidence,total_pages,text_pages,scanned_pages,mixed_pages,ocr_pages,ocr_enabled,processing_time_sec,extraction_engine,requires_ocr,requires_docling,decision_reason
0,UNKNOWN,0,0,0,0,0,0,FALSE,0.0575515,,FALSE,FALSE,
1,MIXED,55.88825215,349,307,11,31,0,TRUE,5.3985446,PyMuPDF,FALSE,FALSE,307 of 349 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
2,TEXT,62.28915663,249,245,1,3,0,FALSE,4.9561854,PyMuPDF,FALSE,FALSE,245 of 249 pages contain a text layer. OCR is not required. Use direct text and table extraction.
3,UNKNOWN,0,0,0,0,0,0,FALSE,0.0271574,,FALSE,FALSE,
4,TEXT,58.84469697,264,258,4,2,0,FALSE,3.1241173,PyMuPDF,FALSE,FALSE,258 of 264 pages contain a text layer. OCR is not required. Use direct text and table extraction.
5,TEXT,67.85031847,314,302,4,8,0,FALSE,5.6110321,PyMuPDF,FALSE,FALSE,302 of 314 pages contain a text layer. OCR is not required. Use direct text and table extraction.
6,TEXT,57.32258065,310,300,2,8,0,FALSE,5.077975,PyMuPDF,FALSE,FALSE,300 of 310 pages contain a text layer. OCR is not required. Use direct text and table extraction.
7,MIXED,56.60818713,684,609,8,67,0,TRUE,10.8771556,PyMuPDF,FALSE,FALSE,609 of 684 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
8,TEXT,60.18852459,610,597,2,10,1,FALSE,8.72844,PyMuPDF,FALSE,FALSE,597 of 610 pages contain a text layer. OCR is not required. Use direct text and table extraction.
9,TEXT,60.42735043,585,571,2,12,0,FALSE,8.4638933,PyMuPDF,FALSE,FALSE,571 of 585 pages contain a text layer. OCR is not required. Use direct text and table extraction.
10,TEXT,60.01481481,675,659,1,15,0,FALSE,10.1342292,PyMuPDF,FALSE,FALSE,659 of 675 pages contain a text layer. OCR is not required. Use direct text and table extraction.
11,MIXED,56.55956113,638,571,13,54,0,TRUE,8.5225852,PyMuPDF,FALSE,FALSE,571 of 638 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
12,TEXT,62.77631579,380,367,2,11,0,FALSE,5.5825808,PyMuPDF,FALSE,FALSE,367 of 380 pages contain a text layer. OCR is not required. Use direct text and table extraction.
13,TEXT,67.13768116,138,126,2,10,0,FALSE,6.0108355,PyMuPDF,FALSE,FALSE,126 of 138 pages contain a text layer. OCR is not required. Use direct text and table extraction.
14,UNKNOWN,0,0,0,0,0,0,FALSE,0.0399157,,FALSE,FALSE,
15,TEXT,61.27659574,141,136,1,2,2,FALSE,3.4046932,PyMuPDF,FALSE,FALSE,136 of 141 pages contain a text layer. OCR is not required. Use direct text and table extraction.
16,TEXT,69.63235294,340,331,2,7,0,FALSE,7.5257305,PyMuPDF,FALSE,FALSE,331 of 340 pages contain a text layer. OCR is not required. Use direct text and table extraction.
17,TEXT,69.73782772,267,261,2,4,0,FALSE,5.7971047,PyMuPDF,FALSE,FALSE,261 of 267 pages contain a text layer. OCR is not required. Use direct text and table extraction.
